Dataset,Minsup,FI_Count,Basic_Time_s,Opt_Time_s,Speedup,Basic_RAM_MB,Opt_RAM_MB,Memory_Saving_Ratio
Chess,2877,622,0.2523062,0.0009263,272.38065421569684,163.0988245010376,0.920445442199707,177.19553709914553
Chess,2717,2669,0.6700644,0.00458,146.30227074235808,490.17058181762695,3.664257049560547,133.7707958770013
Chess,2557,8227,1.3637961,0.0119435,114.18730690333656,813.2534351348877,11.324838638305664,71.81148103815812
Chess,2397,20993,2.3652571,0.0306691,77.1218294635317,1569.9506349563599,28.79078769683838,54.52961730285559
Chess,2238,48731,5.0984561,0.0794304,64.18771780074128,3205.356735229492,66.65894317626953,48.08592189578238
Mushroom,4208,163,0.0460827,0.0003212,143.4704234122042,39.67361831665039,0.3618907928466797,109.62870319129311
Mushroom,3788,269,0.0765863,0.000587,130.47069846678025,69.07480525970459,0.6724376678466797,102.72298617788633
Mushroom,3367,505,0.1289712,0.0008891,145.05814868968622,121.2848253250122,1.2050151824951172,100.65003917533932
Mushroom,2946,1121,0.413347,0.0020342,203.19880051125753,254.46995735168457,2.7510881423950195,92.49792961200808
Mushroom,2525,2587,0.5740197,0.0044579,128.76459768052223,415.9848585128784,5.785167694091797,71.90541061371655
Accident,306165,31,0.4181754,0.0006509,642.4572130895682,195.04288482666016,1.076559066772461,181.172488204852
Accident,289156,71,3.5047954,0.0012276,2854.9978820462693,1027.6933698654175,5.637029647827148,182.31115216176883
Accident,272147,149,7.7530807,0.0022933,3380.752932455414,2370.4483013153076,13.00724983215332,182.24054522699095
Accident,255138,313,14.0643051,0.0079584,1767.2277216525938,5813.565179824829,31.85879421234131,182.47913405249963
Accident,238129,529,19.3551369,0.0125111,1547.0371829815124,9129.19902229309,50.04297351837158,182.4271896821162
Retail,882,159,0.0874021,0.0056532,15.460641760418879,18.728525161743164,31.73935890197754,0.5900725726560366
Retail,441,580,0.4298396,0.127003,3.384483831090604,46.957085609436035,357.45858001708984,0.13136371102685812
Retail,177,2691,3.4081963,1.6700396,2.040787715452975,252.53177452087402,7306.577615737915,0.034562251686334824
Retail,89,7589,10.4693375,10.3493632,1.0115924330494073,881.3159704208374,42664.47666168213,0.020656903339268333
Retail,45,19242,24.766582,44.5805832,0.5555463886349518,2519.1390705108643,176329.8093767166,0.014286518424850648
