Dataset,Minsup,FI_Count,Basic_Time_s,Opt_Time_s,Speedup,Basic_RAM_MB,Opt_RAM_MB,Memory_Saving_Ratio
Chess,2877,622,0.3202523,0.0011011,290.84760693851604,163.1017084121704,0.9204607009887695,177.19573278572858
Chess,2717,2669,0.75349,0.0041289,182.49170481241978,490.1753730773926,3.664196014404297,133.7743317089117
Chess,2557,8227,1.3896393,0.0125156,111.03257534596824,813.2513294219971,11.324838638305664,71.81129510059576
Chess,2397,20993,2.322258,0.0328099,70.77918555070268,1569.9494142532349,28.79074192047119,54.52966160406404
Chess,2238,48731,4.8512856,0.0824815,58.81665100658935,3205.3675231933594,66.65901947021484,48.08602869752096
Mushroom,4208,163,0.0418704,0.0002824,148.26628895184137,39.67378616333008,0.3618755340576172,109.63378960295583
Mushroom,3788,269,0.0708919,0.0004658,152.19386002576212,69.0758581161499,0.6724529266357422,102.72222096159791
Mushroom,3367,505,0.1223165,0.0008687,140.8040750546794,121.28497791290283,1.2050151824951172,100.65016580269875
Mushroom,2946,1121,0.3546897,0.0018741,189.25868416840083,254.47014045715332,2.7510881423950195,92.4979961694789
Mushroom,2525,2587,0.5076727,0.0038942,130.36636536387448,415.98520946502686,5.785152435302734,71.90566093411132
Accident,306165,31,0.4224398,0.0006637,636.4920897996082,195.04349517822266,1.076559066772461,181.17305515150764
Accident,289156,71,3.4835694,0.0013173,2644.476884536552,1027.693507194519,5.637105941772461,182.30870908049388
Accident,272147,149,7.7428443,0.0022165,3493.275118429957,2370.453809738159,13.007875442504883,182.2322038841486
Accident,255138,313,14.2525332,0.0074602,1910.4760194096673,5813.5723667144775,31.85850429534912,182.4810202267774
Accident,238129,529,19.2306217,0.0130835,1469.837711621508,9129.208772659302,50.04202747344971,182.43083331311652
Retail,882,159,0.0829628,0.0056742,14.621056712840577,18.728845596313477,31.73923683166504,0.5900849379474813
Retail,441,580,0.4074927,0.1262644,3.227296846933894,46.9577112197876,357.4590530395508,0.13136528735388328
Retail,177,2691,3.2961356,1.5498871,2.1266940024212087,252.5326747894287,7306.527978897095,0.034562609698997965
Retail,89,7589,10.2557756,9.8550126,1.040665904374389,881.3168096542358,42665.390617370605,0.020656480508007356
Retail,45,19242,24.1501898,42.2575434,0.5715000886681926,2519.1391162872314,176332.34503650665,0.014286313244264324
